
สรุปหุ้น AOT ที่มีราคาสูงสุดและต่ำสุดในแต่ละวัน:
2023-11-02  141.116844  141.116844
2023-11-03  113.084125  113.084125
2023-11-04   58.377626   58.377626
2023-11-05   77.401516   77.401516
2023-11-06   66.578127   66.578127
2023-11-07   90.162295   90.162295
2023-11-08  100.975248  100.975248
2023-11-09  100.168247  100.168247
2023-11-10   58.558354   58.558354
2023-11-11   57.116997   57.116997
2023-11-12  121.285282  121.285282
2023-11-13   95.093525   95.093525
2023-11-14   96.819238   96.819238
2023-11-15  121.398031  121.398031
2023-11-16  124.071772  124.071772
2023-11-17  114.324523  114.324523
2023-11-18  127.302895  127.302895
2023-11-19   74.700727   74.700727
2023-11-20  130.073492  130.073492
2023-11-21   68.460930   68.460930
2023-11-22   69.571119   69.571119
2023-11-23   60.561127   60.561127
2023-11-24  135.664343  135.664343
2023-11-25   89.885246   89.885246
2023-11-26   67.813648   67.813648
2023-11-27   51.277517   51.277517
2023-11-28  120.380134  120.380134
2023-11-29  137.554728  137.554728
2023-11-30  100.727612  100.727612
2023-12-01   96.131136   96.131136
2023-12-02   78.028533   78.028533
2023-12-03  115.318843  115.318843
2023-12-04  117.673249  117.673249
2023-12-05   77.156247   77.156247
2023-12-06   51.368266   51.368266
2023-12-07   91.609567   91.609567
2023-12-08   90.384763   90.384763
2023-12-09  138.028803  138.028803
2023-12-10   73.260417   73.260417
2023-12-11   68.024205   68.024205
2023-12-12  115.995649  115.995649
2023-12-13   47.562160   47.562160
2023-12-14  143.315273  143.315273
2023-12-15   94.772238   94.772238
2023-12-16   77.243608   77.243608
2023-12-17   60.730229   60.730229
2023-12-18  107.483469  107.483469
2023-12-19   99.010229   99.010229
2023-12-20  113.418701  113.418701
2023-12-21  105.385606  105.385606
2023-12-22  142.510604  142.510604
2023-12-23   70.888990   70.888990
2023-12-24  135.162489  135.162489
2023-12-25   72.368255   72.368255
2023-12-26   51.563380   51.563380
2023-12-27  113.995301  113.995301
2023-12-28  135.982542  135.982542
2023-12-29   79.035334   79.035334
2023-12-30  104.879525  104.879525
2023-12-31   81.073050   81.073050
2024-01-01   70.191997   70.191997
2024-01-02   78.047197   78.047197
2024-01-03   53.759862   53.759862
2024-01-04   80.452217   80.452217
2024-01-05  107.619199  107.619199
2024-01-06   73.208503   73.208503
2024-01-07  139.846392  139.846392
2024-01-08   49.429879   49.429879
2024-01-09   98.088476   98.088476
2024-01-10   50.450516   50.450516
2024-01-11   61.418414   61.418414
2024-01-12   57.569597   57.569597
2024-01-13  121.762574  121.762574
2024-01-14   86.710176   86.710176
2024-01-15   72.290329   72.290329
2024-01-16  126.506763  126.506763
2024-01-17   55.409721   55.409721
2024-01-18  129.668831  129.668831
2024-01-19   44.533287   44.533287
2024-01-20   87.601339   87.601339
2024-01-21  135.752508  135.752508
2024-01-22   71.383343   71.383343
2024-01-23  107.687538  107.687538
2024-01-24   93.819044   93.819044
2024-01-25   51.019305   51.019305
2024-01-26  132.669906  132.669906
2024-01-27   58.575723   58.575723
2024-01-28  136.024617  136.024617
2024-01-29   60.262328   60.262328
2024-01-30   61.608740   61.608740

ค่าเฉลี่ยราคาหุ้น CPALL: 91.11

สรุปหุ้น KBANK ที่มีราคาสูงสุดและต่ำสุดในแต่ละวัน:
             max_price   min_price
Date                              
2023-10-23   70.671613   70.671613
2023-10-24   76.869382   76.869382
2023-10-25   92.544619   92.544619
2023-10-26  134.316178  134.316178
2023-10-27   99.933393   99.933393
2023-10-28   59.769880   59.769880
2023-10-29  134.850656  134.850656
2023-10-30   76.132911   76.132911
2023-10-31   74.238976   74.238976
2023-11-01  109.654130  109.654130
2023-11-02  132.530657  132.530657
2023-11-03  114.422544  114.422544
2023-11-04   71.471810   71.471810
2023-11-05   91.270767   91.270767
2023-11-06  141.756352  141.756352
2023-11-07  102.173888  102.173888
2023-11-08  130.607924  130.607924
2023-11-09  137.458995  137.458995
2023-11-10   88.453182   88.453182
2023-11-11  129.877635  129.877635
2023-11-12  122.851384  122.851384
2023-11-13  121.300437  121.300437
2023-11-14  112.373119  112.373119
2023-11-15  122.738280  122.738280
2023-11-16   99.520489   99.520489
2023-11-17  143.191210  143.191210
2023-11-18  118.527507  118.527507
2023-11-19   60.612039   60.612039
2023-11-20   99.502900   99.502900
2023-11-21  112.430020  112.430020
2023-11-22  126.552835  126.552835
2023-11-23  103.481749  103.481749
2023-11-24  132.715645  132.715645
2023-11-25  139.803546  139.803546
2023-11-26   69.693360   69.693360
2023-11-27   72.626589   72.626589
2023-11-28   98.867302   98.867302
2023-11-29   54.675917   54.675917
2023-11-30  112.818066  112.818066
2023-12-01   74.691389   74.691389
2023-12-02  138.379159  138.379159
2023-12-03  135.395417  135.395417
2023-12-04   79.782070   79.782070
2023-12-05   66.008120   66.008120
2023-12-06   56.326933   56.326933
2023-12-07  141.722068  141.722068
2023-12-08  133.234407  133.234407
2023-12-09   76.991754   76.991754
2023-12-10  138.623032  138.623032
2023-12-11   72.436561   72.436561
2023-12-12   49.810292   49.810292
2023-12-13   83.625127   83.625127
2023-12-14   90.873362   90.873362
2023-12-15  132.573598  132.573598
2023-12-16  139.522949  139.522949
2023-12-17   71.000988   71.000988
2023-12-18  141.966966  141.966966
2023-12-19   57.687304   57.687304
2023-12-20   57.429149   57.429149
2023-12-21  125.258162  125.258162
2023-12-22  143.672475  143.672475
2023-12-23  143.674502  143.674502
2023-12-24   59.157009   59.157009
2023-12-25  139.015865  139.015865
2023-12-26   87.078885   87.078885
2023-12-27   85.061021   85.061021
2023-12-28   93.387826   93.387826
2023-12-29  103.947218  103.947218
2023-12-30  125.394799  125.394799
2023-12-31  123.144640  123.144640
2024-01-01  126.664097  126.664097
2024-01-02   78.343969   78.343969
2024-01-03  129.033929  129.033929
2024-01-04   61.253595   61.253595
2024-01-05  117.052984  117.052984
2024-01-06   63.923260   63.923260
2024-01-07   90.509713   90.509713
2024-01-08  129.835430  129.835430
2024-01-09   67.614317   67.614317
2024-01-10  135.801026  135.801026
2024-01-11  112.727018  112.727018
2024-01-12   87.255400   87.255400
2024-01-13   54.880494   54.880494
2024-01-14   71.976146   71.976146
2024-01-15  111.004963  111.004963
2024-01-16  141.159244  141.159244
2024-01-17   59.191124   59.191124
2024-01-18   66.682383   66.682383
2024-01-19  106.184218  106.184218
2024-01-20  101.860050  101.860050
2024-01-21   42.511105   42.511105
2024-01-22   53.968569   53.968569
2024-01-23   79.379423   79.379423
2024-01-24   52.609193   52.609193
2024-01-25  115.760666  115.760666
2024-01-26  101.627562  101.627562
2024-01-27   78.671064   78.671064
2024-01-28   84.286437   84.286437
2024-01-29   48.447984   48.447984
2024-01-30  104.738501  104.738501

ค่าเฉลี่ยราคาหุ้น KBANK: 99.35
